aX,aY,aZ,gX,gY,gZ
-1.738,0.797,0.049,-82.336,-149.719,0.854
-1.723,0.824,-0.017,-91.309,-148.621,22.583
-1.700,0.803,-0.064,-100.220,-146.484,42.847
-1.660,0.767,-0.120,-108.215,-143.372,59.265
-1.637,0.732,-0.174,-116.882,-138.733,72.021
-1.632,0.704,-0.215,-121.521,-132.812,84.290
-1.624,0.671,-0.244,-122.925,-126.526,97.168
-1.612,0.656,-0.280,-121.643,-119.934,111.389
-1.572,0.634,-0.338,-122.009,-114.075,126.770
-1.494,0.591,-0.402,-126.648,-105.896,140.869
-1.438,0.539,-0.483,-134.094,-95.703,155.334
-1.359,0.488,-0.534,-139.099,-82.397,169.189
-1.274,0.409,-0.563,-144.775,-65.430,180.969
-1.222,0.312,-0.591,-153.442,-45.837,189.758
-1.172,0.224,-0.595,-159.119,-28.809,193.970
-1.126,0.163,-0.579,-162.048,-15.747,195.740
-1.101,0.085,-0.588,-164.612,-5.432,195.374
-1.063,0.043,-0.550,-170.715,3.723,193.237
-1.021,0.035,-0.511,-167.480,9.216,189.087
-0.999,0.020,-0.553,-149.170,17.029,190.918
-0.955,-0.028,-0.563,-134.888,30.884,195.740
-0.901,-0.029,-0.520,-126.160,46.875,198.853
-0.893,-0.022,-0.476,-121.094,62.805,203.491
-0.884,-0.024,-0.440,-123.901,74.890,209.045
-0.855,-0.028,-0.433,-131.714,80.994,212.830
-0.808,-0.051,-0.427,-142.456,83.252,214.111
-0.746,-0.068,-0.406,-154.663,85.144,212.219
-0.705,-0.069,-0.392,-165.894,88.623,208.740
-0.655,-0.058,-0.396,-173.218,93.872,207.275
-0.594,-0.043,-0.413,-177.490,102.051,209.106
-0.515,-0.028,-0.433,-184.570,114.990,210.632
-0.485,0.005,-0.480,-198.669,131.592,213.562
-0.425,0.029,-0.488,-209.290,149.597,219.116
-0.370,0.033,-0.475,-213.196,165.833,225.281
-0.297,-0.023,-0.432,-214.050,182.312,228.333
-0.249,-0.065,-0.360,-214.050,196.411,228.271
-0.211,-0.103,-0.276,-212.646,205.566,226.746
-0.178,-0.132,-0.219,-209.167,210.449,223.328
-0.123,-0.141,-0.191,-205.750,212.708,219.482
-0.087,-0.123,-0.169,-207.214,213.440,214.539
-0.057,-0.075,-0.141,-211.792,213.562,210.205
-0.009,-0.061,-0.098,-214.111,214.172,206.726
0.049,-0.036,-0.065,-216.919,213.867,202.148
0.091,-0.005,-0.050,-224.243,213.196,198.547
0.150,0.007,-0.013,-229.553,212.036,196.106
0.211,0.015,0.028,-229.370,211.121,193.787
0.272,0.026,0.054,-228.455,211.609,191.406
0.334,0.028,0.116,-224.487,212.402,188.660
0.411,0.010,0.200,-216.125,212.524,184.570
0.487,0.001,0.278,-210.449,211.487,179.871
0.576,0.012,0.352,-207.520,205.566,175.720
0.660,-0.000,0.440,-207.031,196.411,171.875
0.711,-0.052,0.507,-209.167,184.875,169.800
0.751,-0.120,0.587,-206.787,174.011,168.030
0.736,-0.125,0.632,-196.411,161.926,164.124
0.893,-0.130,0.719,-179.565,148.254,155.884
0.891,-0.022,0.680,-169.250,128.601,144.165
0.940,0.047,0.712,-167.664,107.666,132.202
0.984,0.129,0.741,-164.307,89.233,119.446
1.001,0.175,0.817,-159.241,76.111,111.023
1.042,0.202,0.901,-148.437,65.430,109.070
1.077,0.184,0.985,-133.789,58.044,110.046
1.112,0.163,1.063,-122.253,50.659,108.765
1.135,0.141,1.134,-119.202,40.588,103.882
1.134,0.100,1.186,-118.469,29.419,95.886
1.137,0.050,1.239,-110.901,20.996,85.999
1.137,0.018,1.314,-100.708,15.015,74.646
1.130,0.030,1.372,-89.050,11.353,64.880
1.137,0.058,1.336,-72.449,12.573,59.875
1.110,0.054,1.329,-55.542,14.771,52.124
1.080,0.045,1.342,-42.542,15.564,40.283
1.028,0.021,1.371,-31.250,15.076,29.114
0.963,-0.009,1.381,-19.470,12.146,19.470
0.896,-0.038,1.363,-9.827,7.019,11.292
0.821,-0.052,1.320,-2.563,-0.732,3.418
0.740,-0.067,1.251,3.540,-9.827,-3.662
0.658,-0.073,1.175,9.888,-17.883,-10.559
0.573,-0.084,1.102,16.418,-24.231,-16.296
0.506,-0.076,1.023,23.071,-27.771,-18.982
0.442,-0.052,0.951,28.320,-29.602,-20.447
0.375,-0.034,0.878,29.358,-30.334,-19.897
0.325,-0.035,0.826,29.175,-30.762,-17.212
0.302,-0.042,0.764,27.100,-29.358,-13.672
0.282,-0.054,0.716,22.522,-26.550,-10.376
0.282,-0.054,0.687,18.677,-22.034,-7.874
0.267,-0.057,0.686,16.052,-14.160,-4.822
0.260,-0.070,0.719,15.076,-4.517,-2.258
0.257,-0.085,0.777,16.479,5.676,-0.366
0.266,-0.097,0.833,18.066,13.428,1.465
0.280,-0.105,0.886,19.226,18.188,2.869
0.278,-0.102,0.939,19.531,18.433,3.723
0.293,-0.094,0.972,21.118,15.808,4.028
0.311,-0.080,0.988,22.400,11.047,4.639
0.336,-0.075,0.991,22.278,5.676,4.150
0.373,-0.077,0.970,20.203,1.160,2.686
0.408,-0.088,0.953,19.348,-1.587,1.404
0.438,-0.092,0.929,19.104,-2.686,0.183
0.453,-0.072,0.896,18.372,-2.563,-0.549
0.461,-0.078,0.865,17.273,-1.160,-0.427
0.466,-0.108,0.856,17.151,1.221,-1.587
0.450,-0.116,0.850,16.602,3.235,-2.319
0.419,-0.126,0.837,15.991,3.906,-2.625
0.404,-0.131,0.837,16.113,2.930,-3.418
0.397,-0.158,0.843,16.785,0.977,-3.418
0.391,-0.184,0.854,18.372,-1.160,-3.967
0.389,-0.179,0.846,21.240,-3.418,-5.615
0.384,-0.158,0.829,22.217,-6.409,-7.080
0.379,-0.138,0.812,20.935,-9.155,-7.996
0.378,-0.131,0.796,18.372,-10.498,-8.057
0.389,-0.142,0.785,16.174,-10.254,-7.690
0.407,-0.156,0.778,13.794,-8.423,-7.385
0.409,-0.172,0.780,10.559,-5.798,-8.118
0.405,-0.185,0.800,8.728,-3.418,-8.301
0.391,-0.191,0.829,8.301,-0.977,-7.812
0.378,-0.192,0.865,8.301,1.160,-7.263
0.377,-0.200,0.892,8.728,2.441,-6.531
0.381,-0.198,0.924,10.254,2.441,-6.226
0.393,-0.196,0.952,12.024,1.465,-5.371
0.407,-0.194,0.967,12.451,-0.488,-5.127

1.117,-0.259,1.089,151.733,-10.986,-106.384
1.112,-0.263,1.051,149.780,-7.874,-124.329
1.104,-0.243,1.008,149.841,-4.150,-141.235
1.084,-0.209,0.973,152.100,-0.732,-155.640
1.069,-0.146,0.946,155.396,1.404,-168.091
1.065,-0.070,0.909,159.607,2.625,-178.528
1.039,-0.007,0.869,162.598,1.587,-186.218
0.984,0.037,0.829,165.649,-0.916,-189.941
0.888,0.052,0.812,168.823,-5.249,-193.176
0.802,0.062,0.766,170.288,-12.329,-196.350
0.720,0.034,0.689,169.678,-21.179,-202.454
0.611,-0.024,0.626,164.612,-30.518,-212.158
0.592,-0.064,0.564,153.076,-32.898,-233.337
0.586,-0.031,0.518,154.114,-38.025,-247.620
0.524,-0.057,0.492,156.921,-47.729,-248.352
0.465,-0.106,0.471,154.907,-52.917,-244.019
0.379,-0.145,0.442,151.428,-55.237,-243.042
0.317,-0.174,0.389,146.729,-56.946,-246.277
0.258,-0.182,0.316,141.479,-61.523,-250.610
0.205,-0.194,0.241,135.254,-66.956,-257.507
0.165,-0.204,0.166,127.258,-71.533,-265.991
0.099,-0.202,0.104,120.239,-74.280,-271.851
0.005,-0.196,0.060,116.150,-76.538,-271.912
-0.064,-0.205,0.014,114.441,-78.979,-268.860
-0.119,-0.211,-0.021,113.159,-82.031,-267.578
-0.198,-0.218,-0.042,111.877,-86.792,-267.090
-0.261,-0.227,-0.056,110.901,-90.881,-266.846
-0.301,-0.226,-0.069,110.779,-95.032,-268.188
-0.328,-0.246,-0.075,112.488,-99.731,-272.400
-0.318,-0.247,-0.076,112.976,-104.797,-277.832
-0.321,-0.262,-0.080,110.107,-108.643,-282.959
-0.321,-0.263,-0.074,103.760,-112.244,-287.170
-0.329,-0.278,-0.055,96.985,-114.075,-291.870
-0.348,-0.261,-0.063,92.468,-114.685,-297.485
-0.362,-0.221,-0.065,92.712,-116.089,-304.626
-0.378,-0.162,-0.057,96.863,-119.263,-311.829
-0.404,-0.081,-0.043,101.196,-122.681,-319.519
-0.443,0.025,-0.078,105.286,-127.563,-332.520
-0.489,0.148,-0.101,103.455,-132.568,-347.656
-0.589,0.342,-0.142,98.633,-137.817,-352.905
-0.633,0.459,-0.155,101.074,-139.954,-350.098
-0.679,0.515,-0.144,110.168,-141.785,-342.896
-0.708,0.552,-0.135,118.408,-145.935,-332.703
-0.731,0.569,-0.131,124.817,-148.193,-325.562
-0.769,0.607,-0.166,129.211,-150.269,-320.618
-0.794,0.684,-0.190,133.850,-152.771,-315.796
-0.804,0.722,-0.192,136.780,-159.668,-308.411
-0.776,0.729,-0.213,132.629,-164.673,-303.650
-0.740,0.719,-0.242,125.061,-167.114,-302.063
-0.702,0.726,-0.256,108.704,-168.091,-300.659
-0.698,0.769,-0.255,85.510,-170.715,-294.006
-0.681,0.825,-0.257,81.909,-170.349,-290.466
-0.671,0.877,-0.274,102.539,-168.213,-288.574
-0.697,0.922,-0.319,130.859,-166.199,-293.579
-0.698,1.022,-0.333,146.423,-162.598,-299.316
-0.684,1.189,-0.342,158.386,-160.034,-296.448
-0.665,1.336,-0.357,171.814,-163.513,-284.973
-0.666,1.433,-0.404,176.270,-166.931,-272.217
-0.649,1.508,-0.490,169.617,-164.307,-258.423
-0.659,1.554,-0.617,168.091,-152.649,-244.141
-0.677,1.599,-0.721,165.649,-135.193,-224.487
-0.722,1.683,-0.793,166.687,-116.821,-197.205
-0.729,1.711,-0.882,169.006,-96.924,-169.922
-0.768,1.742,-0.930,167.358,-76.965,-146.423
-0.794,1.777,-0.945,157.043,-60.059,-126.587
-0.795,1.788,-0.956,138.428,-48.950,-110.535
-0.800,1.791,-0.944,113.647,-41.321,-97.717
-0.802,1.755,-0.910,88.623,-33.081,-85.754
-0.802,1.715,-0.872,67.993,-23.987,-71.899
-0.820,1.673,-0.831,51.086,-13.855,-56.458
-0.858,1.660,-0.730,36.560,-7.324,-41.992
-0.825,1.593,-0.628,27.527,-2.075,-26.855
-0.822,1.496,-0.582,17.517,7.690,-13.245
-0.810,1.394,-0.524,11.475,12.939,-4.211
-0.766,1.297,-0.460,7.202,15.442,3.662
-0.713,1.191,-0.399,3.906,17.273,10.071
-0.662,1.086,-0.346,0.305,19.165,13.428
-0.628,0.996,-0.307,-3.967,21.423,14.954
-0.604,0.925,-0.265,-6.836,22.034,14.832
-0.585,0.879,-0.224,-7.751,21.606,15.015
-0.572,0.840,-0.188,-8.240,21.179,15.686
-0.566,0.811,-0.164,-8.667,22.034,16.785
-0.565,0.795,-0.141,-7.690,21.851,18.066
-0.566,0.779,-0.122,-6.531,20.508,19.104
-0.554,0.761,-0.106,-5.127,19.409,19.653
-0.549,0.750,-0.098,-4.089,18.738,20.447
-0.541,0.737,-0.095,-4.028,17.883,19.653
-0.533,0.731,-0.101,-5.310,16.479,17.578
-0.531,0.737,-0.105,-6.409,14.038,15.198
-0.530,0.744,-0.113,-7.629,10.193,13.916
-0.526,0.750,-0.128,-9.155,6.287,12.451
-0.524,0.756,-0.147,-10.803,3.296,10.498
-0.519,0.758,-0.175,-11.475,1.587,9.399
-0.512,0.757,-0.201,-10.925,1.404,9.583
-0.505,0.752,-0.225,-9.766,1.892,9.460
-0.494,0.747,-0.250,-9.644,2.869,9.033
-0.486,0.739,-0.268,-9.644,3.540,8.423
-0.477,0.736,-0.280,-9.033,3.418,7.141
-0.470,0.742,-0.290,-7.935,2.808,6.226
-0.471,0.745,-0.304,-6.592,2.075,5.310
-0.473,0.752,-0.322,-5.981,1.831,4.089
-0.477,0.765,-0.331,-4.456,2.075,3.418
-0.476,0.779,-0.330,-2.808,2.563,3.113
-0.482,0.794,-0.324,-0.916,3.418,2.930
-0.490,0.799,-0.317,0.671,4.456,3.357
-0.492,0.802,-0.308,1.465,5.737,3.906
-0.500,0.804,-0.296,2.380,7.446,4.272
-0.505,0.805,-0.278,3.418,9.338,4.822
-0.512,0.813,-0.256,4.089,11.353,5.188
-0.519,0.808,-0.245,3.540,13.123,4.028
-0.529,0.802,-0.243,1.465,14.893,3.662
-0.538,0.796,-0.234,-0.183,15.381,3.357
-0.548,0.797,-0.222,-1.526,14.282,3.052
-0.556,0.797,-0.205,-2.686,12.146,3.296
-0.568,0.801,-0.198,-3.967,9.583,3.723
-0.579,0.799,-0.197,-4.944,7.996,3.723
-0.578,0.793,-0.201,-4.883,6.226,4.578
-0.573,0.782,-0.204,-4.333,3.784,5.432
-0.563,0.771,-0.214,-3.479,1.648,5.310

-0.962,1.274,-0.532,-88.928,-27.832,55.420
-0.998,1.276,-0.602,-113.831,-33.264,65.918
-0.956,1.288,-0.659,-141.602,-35.095,70.496
-0.994,1.271,-0.729,-170.837,-30.396,77.271
-1.074,1.239,-0.766,-191.162,-24.353,87.219
-1.132,1.298,-0.771,-200.256,-23.010,94.788
-1.226,1.344,-0.818,-208.923,-23.071,105.774
-1.329,1.345,-0.869,-218.872,-20.508,120.544
-1.378,1.326,-0.921,-225.098,-13.062,135.559
-1.382,1.266,-0.952,-224.304,-0.732,150.757
-1.339,1.222,-0.988,-222.229,18.433,165.161
-1.313,1.152,-0.959,-218.079,39.246,183.228
-1.305,1.065,-0.942,-213.928,55.176,200.317
-1.250,0.979,-0.917,-217.651,64.697,208.374
-1.206,0.891,-0.943,-228.333,71.045,209.961
-1.197,0.777,-0.907,-237.671,78.064,211.304
-1.193,0.679,-0.839,-234.863,84.167,211.243
-1.193,0.608,-0.828,-224.365,88.989,211.731
-1.159,0.532,-0.842,-210.144,94.360,216.614
-1.118,0.474,-0.852,-195.435,103.088,222.046
-1.078,0.427,-0.849,-184.204,114.197,224.976
-1.029,0.404,-0.846,-176.514,123.047,227.173
-0.975,0.343,-0.858,-174.133,131.104,230.408
-0.942,0.282,-0.894,-179.260,140.198,231.995
-0.891,0.246,-0.883,-185.486,147.522,230.652
-0.845,0.198,-0.920,-192.383,153.992,227.844
-0.800,0.155,-0.927,-202.698,162.354,222.595
-0.755,0.127,-0.908,-209.900,172.546,217.590
-0.743,0.102,-0.918,-217.163,184.204,213.257
-0.731,0.103,-0.889,-224.792,194.946,209.106
-0.719,0.070,-0.867,-225.159,205.139,205.139
-0.697,0.051,-0.831,-216.553,216.980,201.965
-0.667,0.062,-0.776,-205.627,230.835,201.233
-0.624,0.083,-0.725,-198.120,244.019,201.782
-0.617,0.094,-0.663,-197.266,253.357,200.439
-0.608,0.100,-0.598,-197.571,256.714,197.510
-0.562,0.123,-0.513,-196.228,256.592,195.312
-0.523,0.140,-0.487,-196.777,257.751,195.740
-0.480,0.139,-0.448,-197.021,259.705,197.327
-0.444,0.112,-0.398,-193.787,260.498,198.242
-0.392,0.080,-0.365,-191.223,260.132,197.937
-0.323,0.093,-0.339,-188.110,259.094,196.838
-0.272,0.096,-0.320,-185.791,257.629,196.838
-0.225,0.092,-0.286,-182.983,256.470,197.937
-0.169,0.098,-0.238,-182.068,255.066,197.937
-0.108,0.111,-0.238,-184.021,256.042,197.876
-0.068,0.103,-0.187,-182.068,258.667,197.693
-0.022,0.096,-0.108,-176.025,260.864,197.327
-0.001,0.100,-0.036,-171.143,262.390,199.402
0.027,0.057,0.032,-165.894,259.949,201.599
0.077,0.039,0.106,-160.217,251.526,199.341
0.119,0.052,0.161,-154.297,241.089,198.486
0.180,0.064,0.213,-148.499,229.431,200.500
0.273,0.048,0.264,-143.188,216.736,203.125
0.394,0.047,0.286,-137.146,204.346,204.651
0.503,0.048,0.294,-130.127,192.139,204.895
0.595,0.044,0.313,-123.413,181.091,202.637
0.646,0.049,0.339,-114.868,171.936,198.364
0.677,0.052,0.349,-105.042,164.490,194.458
0.707,0.079,0.347,-94.543,157.043,190.063
0.711,0.097,0.359,-85.083,148.926,184.692
0.722,0.128,0.346,-77.209,141.052,180.481
0.764,0.180,0.337,-66.772,132.690,177.490
0.795,0.194,0.363,-56.458,123.718,176.208
0.849,0.183,0.384,-55.115,116.882,175.415
0.878,0.158,0.440,-57.068,111.206,172.241
0.921,0.136,0.470,-59.021,106.750,167.847
0.961,0.113,0.495,-61.096,100.464,161.682
0.986,0.132,0.495,-62.805,92.163,153.442
1.002,0.169,0.527,-64.087,82.825,145.935
1.033,0.255,0.501,-67.444,73.181,143.127
1.076,0.286,0.534,-75.745,65.247,142.639
1.119,0.248,0.598,-80.383,56.396,136.719
1.172,0.217,0.672,-79.224,47.607,128.235
1.255,0.168,0.734,-74.585,38.330,124.451
1.358,0.098,0.803,-67.566,31.677,118.408
1.413,0.000,0.928,-60.486,23.926,106.323
1.441,-0.014,1.000,-52.734,13.916,90.393
1.423,0.039,0.948,-38.025,14.709,83.252
1.411,0.083,0.972,-24.902,20.203,76.294
1.385,0.104,1.058,-22.095,19.226,61.035
1.320,0.100,1.181,-24.902,8.850,42.419
1.275,0.063,1.262,-22.095,-3.174,28.137
1.222,0.010,1.296,-11.536,-12.329,19.165
1.141,-0.041,1.290,-0.427,-20.935,11.230
1.024,-0.073,1.251,7.568,-30.090,1.099
0.886,-0.115,1.206,15.503,-37.598,-8.484
0.768,-0.121,1.097,23.987,-38.513,-15.381
0.658,-0.097,1.004,27.893,-36.987,-21.301
0.566,-0.058,0.942,26.978,-36.682,-27.222
0.473,-0.033,0.877,24.475,-34.241,-27.466
0.417,-0.002,0.808,21.912,-30.579,-23.560
0.378,0.002,0.778,22.034,-26.306,-18.738
0.374,-0.027,0.784,23.254,-22.034,-12.512
0.409,-0.089,0.814,23.987,-18.738,-7.141
